Title,Subject,Audience,"Send Date","Send Weekday","Total Recipients","Successful Deliveries","Soft Bounces","Hard Bounces","Total Bounces","Times Forwarded","Forwarded Opens","Unique Opens","Open Rate","Total Opens","Unique Clicks","Click Rate","Total Clicks",Unsubscribes,"Abuse Complaints","Times Liked on Facebook","Folder Id","Unique Id","Total Orders","Total Gross Sales","Total Revenue"
"conxeito #001","conxeito #001",Subscritores,"Mar 20, 2020 01:00 pm",Friday,79,79,0,0,0,0,0,72,91.14%,198,37,46.84%,110,0,0,0,0,683bd41e25,0,0,0
"conxeito #002","conxeito #002",Subscritores,"Mar 27, 2020 01:00 pm",Friday,106,104,0,2,2,0,0,85,81.73%,207,28,26.92%,66,2,0,0,0,ff73c55cca,0,0,0
"conxeito #003","conxeito #003",Subscritores,"Apr 03, 2020 12:10 pm",Friday,111,111,0,0,0,0,0,82,73.87%,250,47,42.34%,192,0,0,0,0,a4a63e7b4c,0,0,0
"conxeito #004","conxeito #004",Subscritores,"Apr 10, 2020 12:14 pm",Friday,119,119,0,0,0,0,0,97,81.51%,220,47,39.50%,157,0,0,0,0,f378a369e6,0,0,0
"conxeito #005","conxeito #005",Subscritores,"Apr 17, 2020 12:33 pm",Friday,131,131,0,0,0,0,0,79,60.31%,203,55,41.98%,196,0,0,0,0,74779ceedd,0,0,0
"conxeito #006","conxeito #006",Subscritores,"Apr 24, 2020 12:18 pm",Friday,138,138,0,0,0,0,0,81,58.70%,206,45,32.61%,169,0,0,0,0,3ba5bcb92e,0,0,0
"conxeito #007","conxeito #007",Subscritores,"May 01, 2020 12:10 pm",Friday,139,139,0,0,0,0,0,72,51.80%,210,44,31.65%,173,1,0,0,0,e005e65137,0,0,0
"conxeito #008","conxeito #008",Subscritores,"May 08, 2020 12:59 pm",Friday,147,147,0,0,0,0,0,117,79.59%,240,56,38.10%,154,0,0,0,0,fbc4d8afa0,0,0,0
"conxeito #009","conxeito #009",Subscritores,"May 15, 2020 11:51 am",Friday,148,148,0,0,0,0,0,86,58.11%,323,42,28.38%,181,1,0,0,0,bdc973ebde,0,0,0
"conxeito #010","conxeito #010",Subscritores,"May 22, 2020 12:27 pm",Friday,153,153,0,0,0,0,0,105,68.63%,250,46,30.07%,123,0,0,0,0,1b722a3112,0,0,0
"conxeito #011","conxeito #011",Subscritores,"May 29, 2020 11:59 am",Friday,154,154,0,0,0,0,0,104,67.53%,216,47,30.52%,169,0,0,0,0,eb3f6dd944,0,0,0
"conxeito #012","conxeito #012",Subscritores,"Jun 05, 2020 12:24 pm",Friday,155,155,0,0,0,0,0,107,69.03%,227,36,23.23%,64,1,0,0,0,dc9d24f606,0,0,0
"conxeito #013","conxeito #013",Subscritores,"Jun 12, 2020 11:37 am",Friday,154,154,0,0,0,0,0,103,66.88%,247,50,32.47%,163,0,0,0,0,4574c3b48f,0,0,0
"conxeito #014","conxeito #014",Subscritores,"Jun 19, 2020 11:52 am",Friday,155,155,0,0,0,0,0,103,66.45%,219,49,31.61%,147,1,0,0,0,c4866a0c59,0,0,0
"conxeito #015","conxeito #015",Subscritores,"Jul 03, 2020 12:39 pm",Friday,154,154,0,0,0,0,0,107,69.48%,258,36,23.38%,110,0,0,0,0,52604893d6,0,0,0
"conxeito #016","conxeito #016",Subscritores,"Jul 31, 2020 12:11 pm",Friday,160,158,2,0,2,0,0,113,71.52%,261,49,31.01%,185,0,0,0,0,7d7976a3b5,0,0,0
"conxeito #017","conxeito #017",Subscritores,"Sep 11, 2020 12:13 pm",Friday,175,172,3,0,3,0,0,131,76.16%,313,52,30.23%,272,2,0,0,0,85c9954155,0,0,0
"conxeito #018","conxeito #018",Subscritores,"Oct 18, 2020 01:29 pm",Sunday,183,182,1,0,1,1,1,117,64.29%,264,45,24.73%,132,0,0,0,0,f70c8943ce,0,0,0
"conxeito #019","conxeito #019",Subscritores,"Nov 15, 2020 02:08 pm",Sunday,185,184,1,0,1,0,0,146,79.35%,299,73,39.67%,287,2,0,0,0,3786c0f6d7,0,0,0
"conxeito #020","conxeito #020",Subscritores,"Jan 17, 2021 03:02 pm",Sunday,192,191,1,0,1,0,0,136,71.20%,270,59,30.89%,170,3,0,0,0,36a6f2ea18,0,0,0
